model,params,AUROC,AUPRC,F1,MCC
3mer+LogReg,65,0.6470119999999999,0.6326708046580303,0.6091269841269841,0.21202714121122374
TinyCNN-supervised,104001,0.6650600000000001,0.627356655827499,0.6939090208172706,0.25607079220330176
GENA-LM-base,110650880,0.6575000000000001,0.6411114757499745,0.611439842209073,0.21208315289709914
HyenaDNA-tiny,436096,0.687608,0.6609662636551288,0.6456542502387774,0.25914745380041865
